Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Caminhada (ms),Duração de Outra (ms)
00:00:00.000-03:00,00:15:00.000-03:00,,15.86718747875417,0.0,,,80.5,88.0,73.0,,,,,,,,,,,,,,
00:15:00.000-03:00,00:30:00.000-03:00,,15.86718747875417,0.0,,,73.75,76.0,71.0,,,,,,,,,,,,,,
00:30:00.000-03:00,00:45:00.000-03:00,,15.86718747875417,0.0,,,70.92857142857143,73.0,68.0,,,,,,,,,,,,,,
00:45:00.000-03:00,01:00:00.000-03:00,,15.86718747875417,0.0,,,72.91666666666667,87.0,68.0,,,,,,,,,,,,,,
01:00:00.000-03:00,01:15:00.000-03:00,,15.86718747875417,0.0,,,72.21428571428571,80.0,68.0,,,,,,,,,,,,,,
01:15:00.000-03:00,01:30:00.000-03:00,,15.86718747875417,0.0,,,69.58333333333333,73.0,64.0,,,,,,,,,,,,,,
01:30:00.000-03:00,01:45:00.000-03:00,,15.86718747875417,0.0,,,70.64285714285714,74.0,68.0,,,,,,,,,,,,,,
01:45:00.000-03:00,02:00:00.000-03:00,,15.86718747875417,0.0,,,67.91666666666667,70.0,64.0,,,,,,,,,,,,,,
02:00:00.000-03:00,02:15:00.000-03:00,,15.86718747875417,0.0,,,68.71428571428571,70.0,65.0,,,,,,,,,,,,,,
02:15:00.000-03:00,02:30:00.000-03:00,,15.86718747875417,0.0,,,67.16666666666667,68.0,66.0,,,,,,,,,,,,,,
02:30:00.000-03:00,02:45:00.000-03:00,,15.86718747875417,0.0,,,67.21428571428571,74.0,63.0,,,,,,,,,,,,,,
02:45:00.000-03:00,03:00:00.000-03:00,,15.86718747875417,0.0,,,74.66666666666667,80.0,69.0,,,,,,,,,,,,,,
03:00:00.000-03:00,03:15:00.000-03:00,,15.86718747875417,0.0,,,69.21428571428571,71.0,68.0,,,,,,,,,,,,,,
03:15:00.000-03:00,03:30:00.000-03:00,,15.86718747875417,0.0,,,65.75,76.0,63.0,,,,,,,,,,,,,,
